"","isotype","latitude","longitude","isolation_date","isolation_date_comment"
"1","AB1",-34.93,138.59,"1983-01-01","only year (1983) is known"
"2","CB4858",-34.93,138.59,"1983-01-01","only year (1983) is known"
"3","BRC20067",24.073,121.17,"2012-01-13",NA
"4","N2",51.45,-2.59,"1951-01-01","only year (1951) known"
"5","CB4854",34.189,-118.131,"1973-12-01","only month/year (Dec 1973) known"
"6","CB4853",34.1371,-118.125,"1974-05-01","only month/year (May 1974) known"
"7","CB4857",34.1371,-118.125,"1972-11-01","only month/year (Nov. 1972) known"
"8","CB4852",NA,NA,NA,"pre-1966"
"9","CB4856",21.33,-157.86,"1972-08-01",NA
"10","CB4932",51.02,-3.1,NA,"pre-1991"
"11","CX11254",34.1301,-118.115,"2003-09-01","exact location in garden is unknown"
"12","CX11292",34.1353,-118.306,"2004-02-01","exact location in park is unknown"
"13","CX11262",34.1301,-118.115,"2003-09-01","exact location in garden is unknown"
"14","CX11264",34.1301,-118.115,"2003-09-01","exact location in garden is unknown"
"15","CX11315",34.1301,-118.115,"2003-09-01","exact location in garden is unknown"
"16","CX11271",34.1371,-118.125,"2003-09-01","exact location at CalTech is unknown"
"17","CX11276",34.2011,-118.212,"2003-09-01","exact location in garden is unknown"
"18","CX11285",34.1433,-118.055,"2003-09-01","exact location is unknown"
"19","CX11307",34.1295,-118.11,"2013-09-03","exact location in garden is unknown"
"20","CX11314",34.1295,-118.11,"2003-09-01","exact location in garden is unknown"
"21","DL200",9.03,38.74,"2007-12-01","only month/year (Dec. 2007) known"
"22","DL226",44.5633,-123.282,"2008-01-01","only year (2008) is known"
"23","DL238",19.22,-155.82,"2008-07-15",NA
"24","CB4851",44.85,0.48,NA,"pre-1949"
"25","CB4855",37.44,-122.14,"1982-01-01","only year (1982) is known"
"26","ECA252",34.1,-118.1,"1973-07-15","only month/year (Summer 1973) known"
"27","PB306",NA,NA,"1998-11-28",NA
"28","ECA36",-36.8933,174.746,"2013-07-27",NA
"29","ED3005",55.94,-3.36,"2004-10-25",NA
"30","ED3012",55.92,-3.19,"2004-11-26",NA
"31","ED3011",55.92,-3.19,"2004-11-11",NA
"32","ED3017",55.92,-3.19,"2004-12-03",NA
"33","ED3073",-1.08,36.65,NA,NA
"34","ED3040",-26.1667,28.0167,"2006-05-05",NA
"35","ED3048",-33.3667,19.3167,"2006-05-05",NA
"36","ED3052",-33.3667,19.3167,"2006-05-05",NA
"37","ED3046",-33.3667,19.3167,"2006-05-05",NA
"38","ED3049",-33.3667,19.3167,"2006-04-02",NA
"39","ED3077",-1.31667,36.8,"2006-05-17",NA
"40","EG4347",44.0479,-123.071,"2006-10-09",NA
"41","EG4349",40.7717,-111.873,"2006-10-02",NA
"42","EG4946",40.7073,-111.868,"2007-09-27",NA
"43","EG4724",41.6288,-8.3476,"2007-03-28",NA
"44","EG4725",41.6288,-8.3476,"2007-03-28",NA
"45","GXW1",30.5429,114.42,"2010-11-05",NA
"46","JT11398",47.7639,-122.275,"2003-12-01",NA
"47","JU310",46.63,1.06,"2002-08-25",NA
"48","JU1088",34.7613,138.015,"2007-03-14",NA
"49","MY23",51.96,7.53,"2002-07-01","only month/year (April 2007) is known"
"50","JU1172",-36.87,-73.04,"2007-04-01","only month/year (April 2007) is known"
"51","JU1200",55.577,-4.6,"2007-08-01",NA
"52","JU1212",48.71,-3.81,"2007-09-24",NA
"53","JU1213",48.71,-3.81,"2007-09-24",NA
"54","JU1242",49.1269,1.9595,"2007-10-14",NA
"55","JU1246",49.1262,1.96152,"2007-10-14",NA
"56","JU1395",47.2199,0.04619,"2008-03-01",NA
"57","JU1400",37.3845,-5.988,"2008-03-29",NA
"58","JU1409",37.4721,-5.6331,"2008-03-31",NA
"59","JU1440",41.4131,2.15231,"2008-06-09",NA
"60","JU1491",46.63,1.06,"2008-08-17",NA
"61","JU1581",48.7015,2.1725,"2008-09-09",NA
"62","JU1530",48.7015,2.1725,"2008-09-09",NA
"63","JU1568",48.8092,2.3862,"2008-10-05",NA
"64","JU1580",48.7015,2.1725,"2008-10-06",NA
"65","JU1586",46.63,1.06,"2008-11-03",NA
"66","JU1652",-34.86,-56.19,"2009-01-01",NA
"67","JU1896",37.9997,23.7497,"2010-01-02",NA
"68","JU2001",-21.1,55.5,"2010-09-01","only month/year (September 2010) is known"
"69","JU2007",50.7608,-1.32413,"2010-10-16",NA
"70","JU2316",38.7175,-9.1486,"2013-08-25",NA
"71","JU2464",-13.155,-72.525,"2013-01-01","Only month/year (January 2013) is known"
"72","JU2466",-13.257,-72.266,"2013-01-01","Only month/year (January 2013) is known"
"73","JU2513",38.2602,22.0736,"2013-05-07",NA
"74","JU2519",38.7175,-9.1486,"2013-08-25",NA
"75","JU2522",38.7175,-9.1486,"2013-08-25",NA
"76","JU2526",38.7175,-9.1486,"2013-08-25",NA
"77","JU258",32.73,-16.89,"2001-10-01",NA
"78","JU311",44.42,4.4,"2002-09-08",NA
"79","JU323",44.42,4.4,"2002-09-08",NA
"80","JU346",44.42,4.4,"2002-09-08",NA
"81","JU360",48.98,2.23,"2002-09-16",NA
"82","JU367",48.98,2.23,"2002-09-16",NA
"83","JU393",49.28,-0.32,"2002-09-01","Only month/year (Sep. 2002) known"
"84","JU394",49.28,-0.32,"2002-09-01","Only month/year (Sep. 2002) known"
"85","JU792",43.06,0.24,"2005-08-31","Only month/year (Sep. 2002) known"
"86","JU397",49.28,-0.32,"2002-09-01","Only month/year (Sep. 2002) known"
"87","JU406",49.28,-0.32,"2002-12-30",NA
"88","JU440",48.715,1.56,"2003-09-12",NA
"89","JU561",48.71,-3.81,"2004-10-03",NA
"90","JU642",48.84,2.5,"2004-12-14",NA
"91","JU751",48.84,2.5,"2005-06-08",NA
"92","JU774",38.683,-9.34,"2005-07-10",NA
"93","JU775",38.7175,-9.1486,"2005-07-10",NA
"94","JU778",38.719,-9.1491,"2005-07-10",NA
"95","JU782",38.7191,-9.1503,"2005-07-10",NA
"96","JU830",48.52,9.05,"2005-09-28",NA
"97","JU847",48.46,7.461,"2005-10-03",NA
